epoch,loss,avg_reward,baseline_variance,penalty_ratio,max_memory_load_percent,val_reward
154,-2121.1261029534526,3293.7684268854855,982891.4742276294,0.0,22.0,
155,-2593.88533051375,3333.442027114451,1165715.6730083704,0.0,22.0,2064.6572795124052
156,-2317.132622775482,3383.824275972605,1063244.4277989967,0.0,22.0,
157,-2500.88964624557,3293.960363555193,1072772.612052663,0.0,22.0,
158,-2287.0588075553346,3333.030225893993,1035927.8617622752,0.0,19.0,
159,-3033.3288545980977,3369.332449049175,1345422.9218979492,0.0,19.0,
160,-2812.263994013057,3337.6181412030755,1261591.878263012,0.0,19.0,2181.689112400055
161,-3078.3640925124637,3391.806544235945,1376871.4066472678,0.0,19.0,
162,-3192.0083689768085,3312.217790567756,1409647.850342442,0.0,19.0,
163,-3185.530363884897,3245.8704980971443,1367153.1366626564,0.0,19.0,
164,-3159.179540599149,3365.1872060332894,1398280.541407629,0.0,19.0,
165,-2389.82533713812,3284.354469038725,1045784.0073306103,0.0,19.0,2072.826466831207
166,-3109.7181674588956,3345.5850025207997,1322834.9557235877,0.0,20.0,
167,-2225.614532549958,3263.4976825437548,956858.1285036068,0.0,20.0,
168,-2176.0375835545933,3262.4799036492705,946628.3114171079,0.0,20.0,
169,-2472.855806025952,3359.385127931237,977922.435247529,0.0,20.0,
170,-2178.2754675415435,3327.8608116037844,953054.947474743,0.0,20.0,2093.087541065216
171,-2400.854841056574,3311.1141288692356,1028567.9202298629,0.0,21.0,
172,-2031.1195403952884,3361.3006163759233,829530.404449994,0.0,22.0,
173,-1560.274543708736,3377.02993466198,620009.7359703089,0.0,22.0,
174,-1579.3304904808588,3462.7586392759085,625980.3662218313,0.0,22.0,
175,-1321.6867601900276,3373.142867052078,536035.6839987477,0.0,21.0,2311.381913284302
176,-1383.6985539965667,3350.0148423011897,611860.6941614366,0.0,21.0,
177,-1770.922791417837,3380.0675937622786,766538.1772672457,0.0,21.0,
178,-1720.1491953941108,3393.359599794507,692042.6994074374,0.0,20.0,
179,-1711.271885289742,3390.269238479793,663175.0754539432,0.0,20.0,
180,-2118.8321775397294,3443.516793436289,837109.5969647559,0.0,20.0,2167.988359676361
181,-2045.304023735072,3349.0692829784157,791103.2483168453,0.0,20.0,
182,-1396.7965194523606,3361.270717941858,604213.2551560905,0.0,21.0,
183,-1561.011712956057,3424.9672655053846,633964.3348111133,0.0,22.0,
184,-1665.4257108508973,3336.6793942249233,676159.3058676767,0.0,22.0,
185,-1912.9599412615635,3413.198388466001,712267.2212584823,0.0,23.0,2249.2177873039245
186,-1642.2184554737787,3385.507636492968,602272.7093994978,0.0,23.0,
187,-1552.1462614841219,3492.840886129737,618260.7792733598,0.0,23.0,
188,-1440.415634493386,3307.5999168202875,557573.5111773906,0.0,23.0,
189,-1119.8758437139377,3349.1782831404807,467543.401634264,0.0,23.0,
190,-1574.0179944920837,3433.7933529884817,598910.0094742734,0.0,23.0,2224.613592300415
191,-1543.1736605829979,3386.678054513654,595856.3018817927,0.0,23.0,
192,-2113.0266056214477,3299.1754659202097,760648.5266821404,0.0,23.0,
193,-1282.319817600024,3376.866729477823,504402.25880447304,0.0,23.0,
194,-1117.5032392161506,3382.3011284902095,451305.2592280053,0.0,22.0,
195,-987.955610638599,3348.138497890949,443974.4764938253,0.0,22.0,2120.2644585914613
196,-845.8712164224265,3372.2551865659952,432752.87348729133,0.0,22.0,
197,-852.251823790309,3405.5488919591903,434932.05325431284,0.0,22.0,
198,-1169.052030513905,3538.938843966812,514729.1616307757,0.0,22.0,
199,-762.0474004373294,3375.7653190912606,409564.24854797183,0.0,22.0,
200,-667.8684148036074,3443.007594693899,376495.94899655174,0.0,22.0,2349.9372912273407
