epoch,loss,td_loss,avg_reward,episode_length,epsilon,q_value_mean,replay_size,target_sync_count,elapsed_seconds,eta_seconds,progress_percent,num_samples,method,candidate_source,training_mode
16,29.073027992248534,29.073027992248534,-3.776263308063931,7.625,0.062350000000000017,-3.4457308356650174,987.0,3.0,843.213695526123,210.80342388153076,80.0,0,rlcg,pomo,dqn
17,54.54920597076416,54.54920597076416,-4.731220650989039,7.625,0.050000000000000044,-4.310922562982887,1048.0,3.0,885.9884965419769,156.35091115446653,85.0,0,rlcg,pomo,dqn
18,43.577592086791995,43.577592086791995,-0.5104830471685782,7.625,0.050000000000000044,-2.650572882848792,1109.0,3.0,928.6839945316315,103.18711050351453,90.0,0,rlcg,pomo,dqn
19,29.473713207244874,29.473713207244874,-2.5570411906496604,7.625,0.050000000000000044,-0.7379794798325747,1170.0,3.0,992.0466651916504,52.21298237850806,95.0,0,rlcg,pomo,dqn
20,36.32635545730591,36.32635545730591,-0.5104830471685782,7.625,0.050000000000000044,-0.433132482599467,1231.0,3.0,1037.1094725131989,0.0,100.0,0,rlcg,pomo,dqn
21,0.0,0.0,-8.0,8.0,0.9392,0.0,64.0,0.0,39.76316285133362,7912.86940741539,0.5,0,rlcg,pomo,dqn
22,39.67122192382813,39.67122192382813,-8.0,8.0,0.8784,-2.697804628685117,128.0,0.0,82.04198551177979,8122.156565666199,1.0,0,rlcg,pomo,dqn
23,26.050077056884767,26.050077056884767,-4.821887842501682,7.5,0.8214,0.6615941882831976,188.0,0.0,121.62545275688171,7986.7380643685665,1.5,0,rlcg,pomo,dqn
24,28.568417167663576,28.568417167663576,-8.0,8.0,0.7605999999999999,1.193609557277523,252.0,0.0,154.6520218849182,7577.949072360992,2.0,0,rlcg,pomo,dqn
25,26.167613220214843,26.167613220214843,-1.2991704237590005,7.375,0.70455,-0.24594973681960255,311.0,0.0,186.44856190681458,7271.493914365768,2.5,0,rlcg,pomo,dqn
26,32.145792388916014,32.145792388916014,-2.9671028870565985,7.5,0.6475500000000001,0.5417232730425894,371.0,1.0,218.42283630371094,7062.338373819987,3.0,0,rlcg,pomo,dqn
27,39.27775993347168,39.27775993347168,-2.1294083183008983,7.75,0.58865,1.7036498041590675,433.0,1.0,252.75375318527222,6968.782052108219,3.5000000000000004,0,rlcg,pomo,dqn
28,31.33992404937744,31.33992404937744,-2.519225331822385,8.0,0.52785,3.445235438644886,497.0,1.0,282.7927174568176,6787.025218963623,4.0,0,rlcg,pomo,dqn
29,40.296803092956544,40.296803092956544,-3.285414413829452,7.625,0.4699,4.850915374932811,558.0,1.0,314.68558073043823,6678.327324390411,4.5,0,rlcg,pomo,dqn
30,38.23885993957519,38.23885993957519,-2.0006123199479626,7.5,0.41290000000000004,4.8210346039850265,618.0,1.0,346.776638507843,6588.756131649017,5.0,0,rlcg,pomo,dqn
31,34.211437129974364,34.211437129974364,-3.2737573895007412,8.0,0.35209999999999997,3.640634616278112,682.0,2.0,377.6451141834259,6488.62968915159,5.5,0,rlcg,pomo,dqn
32,30.86095428466797,30.86095428466797,-3.130892566024144,7.625,0.29415,3.306868730019778,743.0,2.0,410.29096126556396,6427.891726493835,6.0,0,rlcg,pomo,dqn
33,31.969958305358887,31.969958305358887,-2.3486561914374677,7.5,0.23714999999999997,5.1363121660193425,803.0,2.0,442.313054561615,6362.503169463231,6.5,0,rlcg,pomo,dqn
34,33.25742416381836,33.25742416381836,-2.9647826876755996,7.625,0.17920000000000003,5.45389833888039,864.0,2.0,474.9798607826233,6310.44672182628,7.000000000000001,0,rlcg,pomo,dqn
35,34.053215980529785,34.053215980529785,-1.8015271593536983,7.625,0.12124999999999997,4.129725202475674,925.0,2.0,508.4751615524292,6271.193659146627,7.5,0,rlcg,pomo,dqn
