epoch,loss,elapsed_seconds,eta_seconds,progress_percent,num_samples,method,candidate_source
230,0.004461075711412986,2749.4148602485657,9204.562793006067,23.0,3378,ffcg,ga
231,0.0044733297575100806,2762.2084486484528,9195.40388316303,23.1,3378,ffcg,ga
232,0.06653259880394916,2775.185336828232,9186.820425362423,23.200000000000003,3378,ffcg,ga
233,0.0005822290896074645,2787.8436918258667,9177.150693692874,23.3,3378,ffcg,ga
234,0.000587666420301837,2800.5534727573395,9167.623761248384,23.400000000000002,3378,ffcg,ga
235,0.0005788446349945488,2813.183042049408,9157.808626245946,23.5,3378,ffcg,ga
236,0.0006197945580387971,2825.426773071289,9146.720570451123,23.599999999999998,3378,ffcg,ga
237,0.0005922955193415113,2837.4604227542877,9134.946424310217,23.7,3378,ffcg,ga
238,0.0006052260923975798,2850.028214931488,9124.880251167202,23.799999999999997,3378,ffcg,ga
239,0.04623245718374055,2862.796089887619,9115.4302276338,23.9,3378,ffcg,ga
240,0.0006199484394444349,2875.3387949466705,9105.239517331123,24.0,3378,ffcg,ga
241,0.0006446103553211203,2888.180101633072,9095.969697674282,24.099999999999998,3378,ffcg,ga
242,0.0074546363090565735,2901.085201025009,9086.870175111393,24.2,3378,ffcg,ga
243,0.00453356519711321,2913.105369091034,9074.982569555197,24.3,3378,ffcg,ga
244,0.0006085864346709376,2925.5105261802673,9064.28671226345,24.4,3378,ffcg,ga
245,0.0007958246001766099,2938.621078014374,9055.75066898307,24.5,3378,ffcg,ga
246,0.023198125334369258,2951.607223510742,9046.7961240939,24.6,3378,ffcg,ga
247,2.9572964565335416,2964.6484451293945,9037.976838795279,24.7,3378,ffcg,ga
248,0.0012076308582517287,2977.557391643524,9028.722413370686,24.8,3378,ffcg,ga
249,0.00404404816709063,2990.334552049637,9019.04115899308,24.9,3378,ffcg,ga
250,0.0006105918803633512,3002.448054790497,9007.34416437149,25.0,3378,ffcg,ga
251,0.0006164661741376006,3014.4004802703857,8995.163186145493,25.1,3378,ffcg,ga
252,0.0006010522606494442,3027.1802933216095,8985.439918272079,25.2,3378,ffcg,ga
253,0.7109267864485209,3039.9408972263336,8975.635771652454,25.3,3378,ffcg,ga
254,0.004177043038313164,3052.734885931015,8965.906397261957,25.4,3378,ffcg,ga
255,0.03530017298086053,3065.578480243683,8956.297912868798,25.5,3378,ffcg,ga
256,0.0010913984695454287,3078.1308097839355,8945.817665934563,25.6,3378,ffcg,ga
257,0.000621316169795518,3090.2932708263397,8934.194164295604,25.7,3378,ffcg,ga
258,0.0006063199389816984,3102.6949620246887,8923.254503187283,25.8,3378,ffcg,ga
259,0.005993650424166804,3115.533581018448,8913.553604380964,25.900000000000002,3378,ffcg,ga
260,6.731989265130983,3128.3175354003906,8903.672985370342,26.0,3378,ffcg,ga
261,0.009010262778468572,3141.0719249248505,8893.686408120553,26.1,3378,ffcg,ga
262,0.0006084547180929301,3153.9853138923645,8884.126571192995,26.200000000000003,3378,ffcg,ga
263,0.00060147501913954,3167.0172028541565,8874.873302294727,26.3,3378,ffcg,ga
264,0.0006032341948211484,3179.283800840378,8863.457869009537,26.400000000000002,3378,ffcg,ga
265,0.0006087824079726409,3191.3344192504883,8851.43697414758,26.5,3378,ffcg,ga
266,0.5966424216764087,3204.0946612358093,8841.373990026632,26.6,3378,ffcg,ga
267,0.01504714437909252,3216.9666504859924,8831.59758354394,26.700000000000003,3378,ffcg,ga
268,0.0046559270472785125,3229.8734107017517,8821.893047140604,26.8,3378,ffcg,ga
269,0.0025768011441662,3242.7456703186035,8812.070947966167,26.900000000000002,3378,ffcg,ga
270,0.006474395742876232,3255.8397810459137,8802.826074679691,27.0,3378,ffcg,ga
271,0.0006244219793118052,3268.3340876102448,8791.939298405418,27.1,3378,ffcg,ga
272,0.0006192947926732668,3280.5609786510468,8780.32497227192,27.200000000000003,3378,ffcg,ga
273,0.0005973558111888874,3292.996716737747,8769.262318931656,27.3,3378,ffcg,ga
274,0.0005845951302126477,3305.6023013591766,8758.639674404241,27.400000000000002,3378,ffcg,ga
275,0.00061763082826681,3318.184250354767,8747.94029638984,27.500000000000004,3378,ffcg,ga
276,0.0005863229665251534,3331.0412933826447,8737.948900032734,27.6,3378,ffcg,ga
277,0.014766420274990942,3343.764712333679,8727.588039773465,27.700000000000003,3378,ffcg,ga
278,0.11715061642370589,3355.9874262809753,8715.909790557065,27.800000000000004,3378,ffcg,ga
279,0.0005892652124647754,3368.089541196823,8703.915982806126,27.900000000000002,3378,ffcg,ga
280,0.0006109109532569904,3380.9125623703003,8693.775160380772,28.000000000000004,3378,ffcg,ga
281,0.0005733775481184946,3393.6446142196655,8683.38248264747,28.1,3378,ffcg,ga
282,0.0005702565237073262,3406.5415937900543,8673.393135961913,28.199999999999996,3378,ffcg,ga
283,0.010362155112741847,3419.3310368061066,8663.110789363882,28.299999999999997,3378,ffcg,ga
284,0.003772923935614408,3432.025915145874,8652.572377621289,28.4,3378,ffcg,ga
285,0.0185605159404703,3444.0555081367493,8640.349783571144,28.499999999999996,3378,ffcg,ga
286,0.0013439463129314775,3456.2815096378326,8628.618873711233,28.599999999999998,3378,ffcg,ga
287,0.003264806182380296,3468.917319536209,8617.902609161385,28.7,3378,ffcg,ga
288,0.0010614344237193706,3481.5795590877533,8607.23835441139,28.799999999999997,3378,ffcg,ga
289,0.003233246642840253,3493.9792668819427,8595.914390149002,28.9,3378,ffcg,ga
290,5.773054919958134,3506.4951405525208,8584.867413076861,28.999999999999996,3378,ffcg,ga
291,0.0039380069922752454,3518.5548169612885,8572.698849572349,29.099999999999998,3378,ffcg,ga
292,0.004511284656987975,3530.3681511878967,8559.933736441888,29.2,3378,ffcg,ga
293,0.002434867909625218,3542.474488735199,8547.882128108484,29.299999999999997,3378,ffcg,ga
294,0.0006414915970135948,3554.8160631656647,8536.395036037276,29.4,3378,ffcg,ga
295,0.2757122407149466,3567.1667246818542,8524.923867460026,29.5,3378,ffcg,ga
296,0.0006088105019922981,3579.7116808891296,8513.908862655227,29.599999999999998,3378,ffcg,ga
297,0.00060753739070941,3592.630718231201,8503.769006452978,29.7,3378,ffcg,ga
298,0.005884603099169798,3604.354790210724,8490.795512509827,29.799999999999997,3378,ffcg,ga
299,0.022583240042106854,3616.4247331619263,8478.641264035152,29.9,3378,ffcg,ga
300,0.0026149614595532863,3628.7221236228943,8467.01828845342,30.0,3378,ffcg,ga
